,importance
BATH,0.3779387478824196
PROPERTYSQFT,0.15503457838616863
LONGITUDE,0.11419296683103052
LATITUDE,0.09094297408953897
SUBLOCALITY_New York County,0.08672566756393087
SUBLOCALITY_New York,0.0712953082759833
BEDS,0.016394994174214878
BATH_PER_BED,0.016360609847469468
TYPE_Co-op for sale,0.015037958010803688
TYPE_Multi-family home for sale,0.010780490961140286
TYPE_Condo for sale,0.007908262813723293
SUBLOCALITY_Kings County,0.0064249742919288136
SUBLOCALITY_Queens County,0.004293214466623276
TYPE_Townhouse for sale,0.004155912905225643
TYPE_House for sale,0.003777121416979236
TYPE_Land for sale,0.0035300764928048716
TYPE_Pending,0.0032281204091952234
SUBLOCALITY_The Bronx,0.0026353660145248
SUBLOCALITY_Manhattan,0.0022391697038472427
SUBLOCALITY_Brooklyn,0.0021867328933236085
SUBLOCALITY_Richmond County,0.0012002833614181924
SUBLOCALITY_Bronx County,0.001060011209774881
TYPE_Other,0.000939134650050429
SUBLOCALITY_Queens,0.0006254143072583113
SUBLOCALITY_Staten Island,0.000621046218493244
TYPE_Contingent,0.00024513422409806697
SUBLOCALITY_Other,0.00022572859803064174
